post_type,text
1,"['อนุญาติ', 'ขาย', 'เครื่อง', 'ลด', 'ชื้น', 'มือ', '2', 'สภาพ', 'เอี่ยม', 'งาน', '1']"
0,"['เจอ', 'airpod', 'รุ่น', '2', 'หล่น', 'แถว', 'ตึก', '78', '40', 'ไหม', 'หาย', 'ตอนเที่ยง', 'หลังจากที่', 'เรียน', 'ห้อง', '78315', 'ใส่', 'เคส', 'ตั้งชื่อ']"
1,"['ขาย', 'เข็มขัด', 'หัว', 'ค้า', 'ซื้อ', '120', 'บาท', 'คับ']"
1,"['ส่งต่อ', 'หนังสือ', '100', 'ซื้อ', 'ใช้งาน', 'มอ', 'มอ']"
3,"['ทราบ', 'ม', 'ร้าน', 'ขาย', 'ประทีป', 'แบ่ง', 'ซื้อ', 'สัก']"
1,"['ส่งต่อ', 'บัตร', 'bmmf', 'ใบ', '1600', '5', 'ใบ', 'ขาย', 'เพื่อน', 'เท', 'นัด', 'วงศ์', 'สว่าง', '11', 'ระ', 'แวก', 'ใกล้เคียง']"
1,"['ส่งต่อ', 'จอ', 'คอม', 'Zowie', 'xl', '2731', '144', 'HZ', 'จอ', '27', 'นิ้ว', '5500', '฿฿', 'กล่อง', 'ขาย', 'ใช้งาน', 'เครื่อง', 'แกะ', 'ซีลออก', 'เคยล้ม', 'หล่น', 'คว่ำ', 'อยู่เลย', 'อายุการใช้งาน', '1', 'ปี']"
1,"['ปล่อย', 'Apple', 'pencil', 'gen1', 'สภาพ', '95', '2000', '฿', 'กล่อง', 'หัว', 'ตัว', 'เชื่อม', 'แกะ', 'ดู', 'รูป', 'รอง', 'ราคา', 'มอ', 'นัด', 'ตำหนิ']"
1,"['ส่งต่อ', 'กระโปรง', 'นักศึกษา', '24', '3', 'ตัว', 'ราคา', '150', '28', '1', 'ตัว', 'ราคา', '160', '32', '1', 'ตัว', 'ราคา', '180', 'กระโปรง', 'พิธีการ', 'สี', 'กรม', 'เอว', '29', '24', 'ราคา', '140', 'โอน', 'ลด', 'ดู', 'รูป']"
1,"['ขาย', 'สัญญา', 'หอ', 'sp', 'apart', '11000', '฿', 'ได้คืน', 'ตอน', 'กลางเดือน', 'หมดสัญญา', 'เดือน', 'พฤศจิกายน', '2565', 'ต่อสัญญา', 'เดือน', '5500', 'ไฟ', '8', 'น้ำ', '18', 'ทีวี', 'ตู้เสื้อผ้า', 'ขนาดใหญ่', 'เตียง', '6', 'ฟุต', 'แอร์', 'เครื่องซักผ้า', 'หอ', 'ลิฟต์', 'wifi', 'ท์', 'เต', 'อร', '์', 'ห้อง', 'แรง', 'ไม่ต้อง', 'แย่ง', 'เซเว่น', 'หอ', 'ร้านอาหาร', 'ล้อมรอบ', 'ห้องน้ำ', 'ที่จอดรถ', 'ล็อค', 'เฉพาะที่', 'คีย์', 'การ์ด', 'ประตู', 'หอ', 'ห้อง', 'ระบบ', 'คีย์', 'การ์ด', 'เดิน', 'เรียน', 'นั่ง', 'วิน', '15', 'วิน', 'หอ']"
3,"['กระดุม', 'เสื้อ', 'แถว', 'ไบเทค', 'ไหม', 'มอ', 'เสาร์', 'ขาย', 'ไหม']"
0,"['ทำ', 'ตก', 'หน้า', 'ร้าน', 'จิ้มจุ่ม', 'สิรีนพาร์ค', '2', 'IBมา']"
3,"['ขออนุญาต', 'หา', 'เมทบ้านค่ะ', 'หมู่บ้าน', 'สิรินพาร์ค', '2', 'บ้าน', '2', 'ชั้น', '3', 'ห้องนอน', '2', 'ห้องน้ำ', 'หาร', 'คนละ', '6000', 'บาท', 'ไม่ต้อง', 'จ่าย', 'มัดจำ', 'ห้อง', 'ว่าง', '1', 'ห้อง', 'ผู้หญิง', 'ดีมาก', 'ค่าน้ำค่าไฟ', 'มิเตอร์', 'บ้าน', 'เตียง', 'ตู้เสื้อผ้า', 'ทีวี', 'โซฟา', 'โต๊ะ', 'ทานข้าว', 'ชั้น', 'วาง', 'ทีวี', 'เครื่องซักผ้า', 'เครื่อง', 'ท่าน้ำอุ่น', 'แอร์', 'ทุกห้อง', 'ตู้เย็น', 'ห้องครัว', 'ห้องนั่งเล่น', '•', 'สนใจ', 'สอบถาม', 'นัด', 'ดู', 'บ้าน', '0988518265', 'เนย']"
1,"['ขาย', 'ตู้เย็น', 'mini', 'bar', 'midea', 'ของอยู่', 'รี', 'เจนท', '์', 'โฮม', 'ซ่อน', 'เฟส', '28', 'อายุการใช้งาน', '2', 'ปี', 'ครึ่ง', 'ราคา', '1000', 'บาท', 'ขาย', 'ซื้อ', 'ตู้', '2', 'ชั้น', 'สนใจ', 'inbox']"
1,"['ขาย', 'รองเท้า', 'บาส', 'size', '115', 'us', 'สภาพ', 'โคตร', 'ขาย', '3000', '฿', 'นัด', 'มอ', 'มอ', 'อุปกรณ์']"
1,"['ปล่อย', 'บัตร', 'whaldolph', 'X', 'dept', 'หา', '4', 'ใบ']"
0,"['บัตร', 'นั', 'กศึกษา', 'บัตร', 'ATM', 'ธนาคารกรุงเทพ', 'ซอง', 'ใส่', 'บัตร', 'สีน', 'ติดต่อ', '0660751759']"
0,"['บัตร', 'หาย', 'ฝาก', 'หน้า', 'ล็อบบี้', 'ตึก', 'A', 'ลุมพินี', 'นครอินทร์']"
1,"['ขาย', 'ตู้เย็น', '2', 'ประตู', '34', 'คิว', 'แถว', 'วัด', 'กำแพง', 'ทะลุ', 'ซอย', 'พระ', 'จอม', 'ขาย', 'เนื่อง', 'จากไป', 'ซื้อ', 'ตู้', '1500', 'บาท', 'คับ']"
3,"['สอบถาม', 'มหาลัย', 'ศึกษา', 'รถ', 'ยนต์', 'จอด', 'มอ', 'เรียน', '3', 'ปี']"
1,"['ส่งต่อ', 'หนังสือ', 'เล่น', '100', 'พละ', 'ชุด', '150', 'แยก', 'ชิ้น', '80', 'นัด', 'มอ', 'ชุด', 'พละ', 'แล้วนะคะ']"
3,"['ตามหา', 'ติวเตอร์', 'แ', 'มท', 'เรียล', 'วท', 'อ', 'ทิ้ง', 'ช่องทาง', 'ติดต่อ']"
0,"['ลืม', 'หู', 'ฟัง', 'หน้า', 'ตึก', 'สถาปัตย์']"
3,"['หนังสือ', 'เล่ม', 'ปล่อย', 'ไหม']"
0,"['เจอนาฬิกา', 'ยี่ห้อ', 'ferrari', 'สีดำ', 'บ้างมั้ย', 'ผม', 'ลืม', 'อ่าง', 'ล้างมือ', 'ฝั่ง', 'ตรงข้าม', 'ร้านค้าขายของกิน', 'ตึก', '84', 'เวลา', '1300', 'หน้า', 'สาขาวิชา', 'วิศวะ', 'กรรม', 'ไฟฟ้า', 'คอมพิวเตอร์']"
1,"['ซื้อ', 'ตัว', 'สัญญาณ', 'wifi', '400', '฿', 'นัด', 'มอ']"
1,"['ส่งต่อ', 'เล่ม', '100']"
3,"['หา', 'คนติว', 'math', '2', 'phy', '2']"
0,"['ลืม', 'ร้าน', 'น้ำ', 'ซอย', 'วัด', 'กำแพง', 'ติดต่อ']"
1,"['ขาย', 'สัญญา', 'หอพัก', 'หญิง', 'กาญจน์', 'ต้นเดือน', 'ธันวาคม', 'ห้อง', 'ชั้น', '5', 'ฝั่ง', 'แป้น', 'บาส', 'วิว', 'มุม', 'หัน', 'ทางเข้า', 'มอ', 'วิ', 'วดี', 'เสียง', 'เงียบ', 'สงบ', 'ปลอดภัย', 'ประตู', 'มอ', 'ประตู', 'เลี้ยวซ้าย', 'เดินทาง', 'สะดวก', 'ตื่น', '850', 'น', 'เรียน', 'ทันเวลา', '⏰', 'เจ้าของ', 'หอ', 'ใจ', 'ดีมาก', 'มีปัญหา', 'แจ้ง', 'พี่', 'เค้า', 'พร้อง', 'ดูแล', 'หอ', 'สะอาด', 'เครื่องซักผ้า', 'หอพัก', 'ตู้', 'เซเว่น', 'ตู้', 'หยอด', 'เหรียญ', 'น้ำ', 'ทางใต้', 'หอ', 'จอด', 'มอเตอร์', 'ไซ', 'ด์', 'ม้านั่ง', 'หน้า', 'หอ', 'ส่วนตัว', 'ชอบ', 'โทน', 'ห้อง', 'เฟอร์นิเจอร์', 'คุม', 'โทน', 'ดี', 'วิว', 'หน้า', 'ห้อง', 'สวย', 'ดู', 'พระอาทิตย์ตกดิน', 'รายละเอียด', 'ห้อง', 'ค่าน้ำ', 'ยูนิต', 'ล่ะ', '18', 'บาท', 'ไฟ', 'ยูนิต', 'ล่ะ', '8', 'บาท', 'มีค่า', 'ส่วนกลาง', 'ระบบ', 'ประตู', 'คีย์', 'การ์ด', 'กุญแจ', 'ห้อง', 'รายละเอียด', 'ค่าใช้จ่าย', 'สัญญา', 'ห้อง', 'จ่าย', '4800', 'บาท', 'ประกัน', 'ห้องพัก', '5000', 'บาท', 'ประกัน', 'เฟอร์นิเจอร์', 'เครื่องปรับอากาศ', '5000', 'บาท', 'รายละเอียด', 'สัญญา', '1', 'ปี', 'ตอนนี้', '7', 'เดือน', 'มิถุนายน', 'เครื่องใช้ไฟฟ้า', 'เฟอร์นิเจอร์', 'ห้อง', 'เครื่อง', 'ประ', 'อากาศ', 'เจ้าของ', 'หอ', 'เติม', 'น้ำยา', 'แอร์', 'ดูแล', 'ตู้เสื้อผ้า', 'โต๊ะ', '1', 'ตัว', 'เก้าอี้', '2', 'ตัว', 'ระเบียง', 'ห้อง', 'ซักผ้า', 'ผ้าม่าน', 'ห้อง', 'ฝั่ง', 'หน้าต่าง', 'ประตู', 'หน้า', 'ห้อง', 'ชั้น', 'วาง', 'รองเท้า', 'ฟรี', 'wifi', '1', 'user', 'ล่ะ', 'ห้อง', 'ใช้ได้', '2', 'เครื่อง', 'สนใจ', 'ติดต่อสอบถาม', 'ดู', 'แจ้ง']"
0,"['ทำ', 'กุญแจ', 'หล่น', 'สะพานหลัง', 'มอ']"
1,"['ขาย', 'เครื่อง', 'เลข', 'รุ่น', 'หา', 'ซื้อ']"
0,"['ลืม', 'ไอแพด', 'โต๊ะ', 'หลาก', 'สี', 'ติดต่อ', 'ห้อง', 'กิจการ', 'นักศึกษา']"
3,"['ปล่อย', 'หนังสือ', 'oral', 'presentation', 'ไหม']"
1,"['เล่ม', 'ขาย', 'ตอน']"
1,"['ปล่อย', 'บัตร', 'ขาย', 'บัตร', 'calum', 'scott', '“', 'bridg', 'asia', 'tour', '2022', '”', 'เสาร์', '22', 'ตุลาคม', '2565', 'บัตร', '2200', 'บาท', '1000', 'บาท', 'จำนวน', '2', 'ใบ']"
0,"['ขออนุญาต', 'บัตรประชาชน', 'เพื่อน', 'หาย', 'บริเวณ', 'ร้าน', 'ซับ', 'ไค', 'ร์บ', 'วันที่', '12', 'ตค', '65', 'เวลา', '18301900', 'น', 'ชื่อ', 'สหัสวรรษ', 'นวล', 'ประเสริฐ', 'รบกวน', 'อิน', 'บล็อค']"
0,"['ทำ', 'หล่น', 'ทัก', 'รับคืน']"
1,"['ฝาก', 'พี่', 'เพื่อน', 'ค้าบ', 'ฝาก', 'อุดหนุน', 'ค้าบ', 'พรีออเดอร์', 'ค้าบ', '26', 'มกราคม', 'ค้าบ', 'หอม', 'ตะโกน', 'กลิ่น', 'คุณหนู', 'ดูแพง', 'สดใส', 'ฉุน', '•', 'ปริมาณ', 'น้ำ', 'หอม', '30', 'ml', '12', 'เดือน', '•', 'ระดับ', 'ติดทน', '68', 'ชั่วโมง', 'รายละเอียด', 'ราคา', '1', 'ขวด', '290', 'ฟรี', '2', 'ขวด', '580', 'ฟรี', '3', 'ขวด', '850', 'ฟรี', '4', 'ขวด', '1100', '1978', 'ทัก', 'Facebook', 'ค้าบ']"
3,"['อัพเดท', '01082022', 'แผนที่', 'เดิม', 'ลอง', 'ทำ', 'แผนที่', 'หอพัก', 'มจพกรุงเทพ', 'แนวทาง', 'น้อง', 'หอ', 'พัก', 'น้อง', 'คน', 'หา', 'หอ', 'พัก', 'ติดต่อ', 'หอ', 'พัก', '…', 'โหลด', 'แผนที่', 'ชัดเจน', 'ภาพ', 'แตก', 'ลิงค์']"
3,"['มอ', 'รู้จัก', 'ร้าน', 'ขาย', 'ว่าว', 'เล่น', 'ขอบคุณ', 'ขอบคุณ', 'ล่วงหน้า', 'ค้าบ']"
1,"['ขออนุญาต', 'ขาย', 'แฟน', 'เก่า', 'คืน', 'นัด', 'มอ', 'มอ', 'คอนโด', 'ลุ', 'มน', 'คร', 'อินทร์', 'เอาจริง', 'ลด']"
1,"['ขาย', 'ตัว', 'ไร้สาย', 'แยก', 'เสียง', 'ซ้าย', 'ขวา', 'ประกัน', 'เต็ม', 'ซื้อ', 'นัด', 'มอ', 'มอ', 'คอนโด', 'ลุ', 'ม', 'ราคา', '3500']"
1,"['อนุญาต', 'ขาย', 'รองเท้า', 'adidas', 'Disney', 'ค้าบ', '3', 'เดือน', 'สกปรก', 'ค้าบ', 'ล้าง', '500', 'บาท', 'มอ', 'มอคอนโดลุม', 'กล่อง', 'หาย']"
1,"['อนุญาต', 'หา', 'ปล่อย', 'เช่า', 'คอนโด', 'แถว', 'เตา', 'ปูน', 'ซื่อ', 'ติด', 'รถ', 'ไฟฟ้า', 'ดี', '9000', 'เดือน', 'แบ่ง', 'โซน', 'ชัดเจน', 'ดี']"
0,"['วันที่', '18', 'ทำ', 'airpod', 'หล่น', 'ทัก', 'คืน']"
3,"['หา', 'รูม', 'เมท', 'ตอน', 'ห้อง', 'สนใจ', 'หา', 'ลอง', 'ทัก', 'คุย', 'รายละเอียด', 'ห้อง', 'ขอบคุณ', 'lgbtq']"
3,"['แถว', 'ร้าน', 'ขาย', 'ข้าวซอย', 'ไหม', 'กิน', 'อาหาร', 'เหนือ']"
3,"['ผม', 'PE', '35', 'ผม', 'เครียร์', 'บ้าน', 'เจอ', 'หนังสือ', 'เก่า', 'ชีท', 'สรุป', 'ผม', 'ทยอย', 'ฟรี', 'ผม', '30', 'บาท', 'ขอบคุณ', 'น้อง', 'Pe', 'รอ', 'วิชาภาค']"
1,"['ตามหา', 'เล่ม', '5', 'เล่ม', 'พี่', 'คน', 'ไหนอยาก', 'ส่งต่อ', 'ทัก']"
3,"['สอบถาม', 'หา', 'หอ', 'ราคา', 'เรท', 'แรง', 'หนู', 'คน', 'ห้อง', 'พัดลม', 'ได้แอร์']"
1,"['ขาย', 'สัญญา', 'หอ', 'พัก', 'ต้น', 'เดือน', 'มกราคม', '2566', 'ห้อง', '5300', 'สนใจ', 'ดู', 'รายละเอียด', 'รูป', 'ib', 'งับ']"
1,"['ขาย', 'สัญญา', 'หอ', 'สัญญา', '10900', 'เดือน', '5800', '16900', 'ตอน', 'สัญญา', 'คืน', '10900', 'สัญญา', 'มิถุนายน', '2566', 'ห้อง', 'เดือน', '5800', 'น้ำ', 'หน่วย', '20', '฿', 'ไฟ', 'หน่วย', '8', '฿', 'ตู้', 'เย็น', 'เครื่อง', 'ทำ', 'น้ำ', 'อุ่น', 'แอร์', 'ชั้น', '5', 'ตึก', '1']"
